,arch,embed_size,embedder,evaluation,replication,score,stage,task,time_of_init
82,comparator,30,sg,matching,1,0.6620245366001127,expert,nyms_ant,2018-11-15-13-22-23
83,comparator,30,sg,matching,1,0.6113413409204453,expert+rs,nyms_ant,2018-11-15-13-22-23
84,comparator,200,cbow,matching,0,0.7725200144228196,novice,cohyponyms_semantic,2018-11-14-19-16-26
85,comparator,200,cbow,matching,0,0.8025068815768838,expert,cohyponyms_semantic,2018-11-14-19-16-26
86,comparator,200,cbow,matching,0,0.7558868085478749,expert+rs,cohyponyms_semantic,2018-11-14-19-16-26
87,comparator,200,cbow,matching,1,0.7725289898161031,novice,cohyponyms_semantic,2018-11-14-19-16-26
88,comparator,200,cbow,matching,1,0.7997896516806627,expert,cohyponyms_semantic,2018-11-14-19-16-26
89,comparator,200,cbow,matching,1,0.7570369255398491,expert+rs,cohyponyms_semantic,2018-11-14-19-16-26
90,comparator,200,cbow,matching,0,0.6650197983014476,novice,features_has,2018-11-14-19-16-26
91,comparator,200,cbow,matching,0,0.6333435192962344,expert,features_has,2018-11-14-19-16-26
92,comparator,200,cbow,matching,0,0.6002230289158877,expert+rs,features_has,2018-11-14-19-16-26
93,comparator,200,cbow,matching,1,0.6677354255749965,novice,features_has,2018-11-14-19-16-26
94,comparator,200,cbow,matching,1,0.6153314203080378,expert,features_has,2018-11-14-19-16-26
95,comparator,200,cbow,matching,1,0.6083869660277758,expert+rs,features_has,2018-11-14-19-16-26
96,comparator,200,cbow,matching,0,0.6018847228852668,novice,features_is,2018-11-14-19-16-26
97,comparator,200,cbow,matching,0,0.5419995845738712,expert,features_is,2018-11-14-19-16-26
98,comparator,200,cbow,matching,0,0.5509141197520853,expert+rs,features_is,2018-11-14-19-16-26
99,comparator,200,cbow,matching,1,0.6018847228852668,novice,features_is,2018-11-14-19-16-26
100,comparator,200,cbow,matching,1,0.5456564279910061,expert,features_is,2018-11-14-19-16-26
101,comparator,200,cbow,matching,1,0.5527230455839381,expert+rs,features_is,2018-11-14-19-16-26
102,comparator,200,cbow,matching,0,0.6615632034273309,novice,nyms_syn,2018-11-14-19-16-26
